date,value
H31.4.8,57536
H31.4.9,157536
H31.4.12,157242
H31.4.13,149242
H31.4.19,159242
H31.4.22,159243
H31.4.22,158993
H31.4.25,194595
H31.4.26,157002
H31.4.26,156839
H31.4.28,149839
H31.4.29,149589
R1.5.4,144589
R1.5.6,137589
R1.5.9,133589
R1.5.10,133352
R1.5.11,130352
R1.5.14,129746
R1.5.15,129595
R1.5.16,126595
R1.5.20,126598
R1.5.20,126198
R1.5.22,126049
R1.5.23,121049
R1.5.24,155624
R1.5.24,155475
R1.5.27,90125
R1.5.29,89925
R1.6.2,84925
R1.6.7,84579
R1.6.13,79579
R1.6.14,79229
R1.6.15,78979
R1.6.16,72979
R1.6.17,68979
R1.6.20,68983
R1.6.22,65983
R1.6.23,62983
R1.6.24,132983
R1.6.25,159603
R1.6.26,82662
R1.7.4,81202
R1.7.11,80738
R1.7.12,75738
R1.7.15,75617
R1.7.17,275617
R1.7.18,355617
R1.7.18,355382
R1.7.21,350382
R1.7.22,350384
R1.7.25,384834
R1.7.26,350465
R1.8.8,420465
R1.8.14,395874
R1.8.14,395658
R1.8.20,395663
R1.8.23,435753
R1.8.23,435123
R1.8.25,434823
R1.8.26,98006
R1.8.27,93006
R1.8.30,92756
R1.9.7,86756
R1.9.17,81756
R1.9.17,81648
R1.9.20,81650
R1.9.25,95235
R1.9.26,20948
R1.9.30,90948
R1.10.3,90508
R1.10.9,89508
R1.10.10,88508
R1.10.11,89391
R1.10.20,79391
R1.10.25,104051
R1.10.27,103051
R1.10.27,102951
R1.10.27,102836
R1.10.28,32508
R1.11.1,29508
R1.11.4,38508
R1.11.4,39508
R1.11.6,39008
R1.11.6,38708
R1.11.8,38518
R1.11.20,38519
R1.11.21,38369
R1.11.23,35369
R1.11.23,35169
R1.11.25,65034
R1.11.26,29702
R1.11.28,23702
R1.12.3,21702
R1.12.4,21202
R1.12.5,20702
R1.12.6,130702
R1.12.6,129462
R1.12.7,125462
R1.12.14,119462
R1.12.14,114462
R1.12.19,124462
R1.12.20,124464
R1.12.23,123364
R1.12.25,161189
R1.12.26,90362
R2.1.4,180362
R2.1.9,180211
R2.1.16,180080
R2.1.16,177080
R2.1.20,177083
R2.1.20,176193
R2.1.23,175843
R2.1.24,213465
R2.1.25,208465
R2.1.27,130708
R2.2.5,130408
R2.2.10,130141
R2.2.12,129990
R2.2.12,128990
R2.2.16,128600
R2.2.20,128603
R2.2.25,170128
R2.2.26,115346
R2.2.26,114846
R2.2.28,114695
R2.3.1,114398
R2.3.3,114247
R2.3.3,111247
R2.3.6,111096
R2.3.9,106096
R2.3.11,105760
R2.3.23,105763
R2.3.23,105653
R2.3.25,114373
R2.3.25,114222
R2.3.26,80747
R2.3.30,80117
R2.4.4,78861
R2.4.6,148861
R2.4.12,148361
R2.4.12,147861
R2.4.12,147646
R2.4.19,146646
R2.4.20,146650
R2.4.24,153710
R2.4.24,153210
R2.4.26,152477
R2.4.27,105709
R2.4.29,105562
R2.4.29,105431
R2.4.30,105186
R2.5.2,104625
R2.5.6,104284
R2.5.10,103933
R2.5.15,103552
R2.5.20,103558
R2.5.20,103402
R2.5.20,103157
R2.5.25,114300
R2.5.26,78096
R2.5.30,77851
R2.6.1,77500
R2.6.2,77149
R2.6.3,76836
R2.6.6,76336
R2.6.6,75836
R2.6.9,75485
R2.6.11,75240
R2.6.12,74571
R2.6.13,74441
R2.6.13,73876
R2.6.14,73631
R2.6.14,72631
R2.6.15,72176
R2.6.17,71835
R2.6.19,71413
R2.6.20,71265
R2.6.20,70523
R2.6.21,68523
R2.6.21,66523
R2.6.22,66528
